eventId,title,startDate,address,imageUrl
1AsZkAEGkeSN3qE,Level Up - Sapphire Souls Tour 2025,2025-04-04 22:00:00,"59 Rue Sainte-Catherine Est, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/ced/9a655b00-1a4b-4bfd-b85d-7a7acb542ced_SOURCE
1AsZkAJGkd6le_y,Abbamania,2025-04-04 14:00:00,"1, avenue du Casino, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/e85/690e9d49-974d-4059-95b0-d874b51c2e85_SOURCE
1ad7Zb9bFQ4Zd58u,HABANA NIGHTS avec Carlos Placeres,2025-04-04 20:30:00,"463 Sainte-Catherine Ouest, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/62b/aa0c8acd-eb4d-4733-ac0e-f20d8405f62b_SOURCE
16sZkAFoyZA8vCCF,"Révolution Les Étoiles, l'ultime tournée ",2025-04-05 20:00:00,"972 Rue Saint-Jean , Quebec, Quebec, Canada",https://s1.ticketm.net/dam/a/4cd/ef09ea87-4781-42e3-a533-a048a8d494cd_SOURCE
16sZkAFoyZAuvCC7,"Révolution Les Étoiles, l'ultime tournée ",2025-04-05 15:00:00,"972 Rue Saint-Jean , Quebec, Quebec, Canada",https://s1.ticketm.net/dam/a/4cd/ef09ea87-4781-42e3-a533-a048a8d494cd_SOURCE
17G8vOG61C2WeE-,Abbamania,2025-04-05 19:30:00,"1, avenue du Casino, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/e85/690e9d49-974d-4059-95b0-d874b51c2e85_SOURCE
1Ad7ZbaGkUiOwPg,Damien Robitaille,2025-04-05 20:00:00,"9200 Boulevard Leduc, Brossard, Quebec, Canada",https://s1.ticketm.net/dam/a/06c/93d0955f-375f-4ba7-a175-5698d150b06c_SOURCE
1Ad7ZbeGkSf7Scp,HEART,2025-04-05 20:00:00,"250 boulevard Wilfrid-Hamel, Quebec, Quebec, Canada",https://s1.ticketm.net/dam/a/ef6/5f7acab3-91ed-4c4e-b658-92c1dedf0ef6_SOURCE
1Ad7ZbpGkUmleMH,Dean Z - The Ultimate Elvis Show,2025-04-05 20:00:00,"1 Blvd du Casino, GATINEAU, Quebec, Canada",https://s1.ticketm.net/dam/a/998/ac0929da-d960-41b2-b6af-5d6a76130998_SOURCE
1AsZk7sGkeNGxeQ,Marc Scibilia: More To This World Tour,2025-04-05 20:00:00,"2490 Rue Notre-Dame Ouest , Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/497/ea516155-9b92-417c-9ddb-a8be1e9fe497_SOURCE
1AsZkA4Gkd0aNKp,MEUTE,2025-04-05 20:00:00,"59 Rue Sainte-Catherine Est, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/b5c/b27ef3cb-7a87-4e24-8d0b-336310b23b5c_SOURCE
1AsZkk6GkdIsPA8,While She Sleeps,2025-04-05 19:00:00,"1004 Sainte-Catherine Street East, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/467/d5dcde9d-f234-417c-b46c-0e9f4f283467_TABLET_LANDSCAPE_LARGE_16_9.jpg
LvZ18_wyaoToqaZZOckG9,NAKED GIANTS,2025-04-05 20:00:00,"179 Jean-Talon Ouest, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/cbe/31db9520-9de2-4bae-99cf-5e8c823dccbe_SOURCE
16d7Zbf-6G7I8Mc,"Révolution Les Étoiles, l'ultime tournée ",2025-04-06 15:00:00,"972 Rue Saint-Jean , Quebec, Quebec, Canada",https://s1.ticketm.net/dam/a/4cd/ef09ea87-4781-42e3-a533-a048a8d494cd_SOURCE
1Ad7ZbpGkzSrpbW,J Balvin - Back To The Rayo Tour,2025-04-07 20:00:00,"1950 Rue Claude-Gagne, Laval, Quebec, Canada",https://s1.ticketm.net/dam/a/fe3/988fc65b-12c1-4ea3-9a93-174b11db0fe3_SOURCE
LvZ18_gs3w9CrE8Z-5aJH,ROSE COUSINS,2025-04-07 20:00:00,"179 Jean-Talon Ouest, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/29d/5447474a-1bbb-4aca-93f2-a33f3888329d_SOURCE
1Ad7ZbpGkDoBfD2,Zaho de Sagazan,2025-04-08 20:00:00,"59 Rue Sainte-Catherine Est, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/caf/aded780b-0d0f-44e2-9c8b-72e7ae4c9caf_SOURCE
1AsZkAdGkePsUAW,Caravan Palace - NORTH AMERICAN TOUR 2025,2025-04-08 20:00:00,"1004 Sainte-Catherine Street East, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/0af/502b8b90-8a76-4cc2-ba59-4856ac3720af_SOURCE
1AsZkkaGkeUwevb,Chelsea Grin,2025-04-08 19:00:00,"2490 Rue Notre-Dame Ouest , Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/479/c80b801c-bdee-455d-9384-8f4ab7af1479_SOURCE
16sZkAUeZZAuk5u1,Les Concerts Jazz Cabaret Chic,2025-04-09 19:00:00,"463 Sainte-Catherine Ouest, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/3f3/d23b2c5e-0aeb-45ad-8d4f-7bfb428f83f3_SOURCE
1Ad7ZbfGklB50-U,Tamino,2025-04-09 20:00:00,"59 Rue Sainte-Catherine Est, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/bae/89ec740b-214a-44f8-951a-28bb1da96bae_SOURCE
LvZ18_guyXCH_i8ZcD-ng,TRAITORS,2025-04-09 19:00:00,"5240 Avenue du Parc, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/bec/109a6f8f-949b-481e-8d70-dda1ab145bec_SOURCE
1Ad7Zb8GkBrI3kW,Zaho de Sagazan,2025-04-10 20:00:00,"59 Rue Sainte-Catherine Est, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/caf/aded780b-0d0f-44e2-9c8b-72e7ae4c9caf_SOURCE
1Ad7Zb3Gkn_4siw,Tire Le Coyote,2025-04-11 20:00:00,"9200 Boulevard Leduc, Brossard, Quebec, Canada",https://s1.ticketm.net/dam/a/6bc/2c97a530-7b9b-41ab-b294-05fe733156bc_SOURCE
1Ad7Zb8GkBLTw1n,Zaho de Sagazan,2025-04-11 20:00:00,"59 Rue Sainte-Catherine Est, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/caf/aded780b-0d0f-44e2-9c8b-72e7ae4c9caf_SOURCE
1Ad7Zb9GksfvOIS,"Révolution Les Étoiles, l'ultime tournée ",2025-04-11 20:00:00,"972 Rue Saint-Jean , Quebec, Quebec, Canada",https://s1.ticketm.net/dam/a/4cd/ef09ea87-4781-42e3-a533-a048a8d494cd_SOURCE
1Ad7ZbFGklQSf9x,Souviens-toi Joe,2025-04-11 19:30:00,"1, avenue du Casino, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/a/790/e7d19aca-bcd9-4ed2-b299-759ba1b83790_SOURCE
1AsZkA9GkeH934D,Killswitch Engage,2025-04-11 18:30:00,"1950 Rue Claude-Gagne, Laval, Quebec, Canada",https://s1.ticketm.net/dam/a/5c0/b5b48278-febb-4da5-9652-792a05e235c0_SOURCE
LvZ18_wVobaDd5ZZcnGVi,B.B. JACQUES,2025-04-11 20:00:00,"5240 Avenue du Parc, Montreal, Quebec, Canada",https://s1.ticketm.net/dam/c/80b/f3cd8d24-c3ae-4fa0-b4bc-1ba99f9b380b_106091_TABLET_LANDSCAPE_LARGE_16_9.jpg
17G8vOG613jVe2X,Abbamania,2025-04-12 20:00:00,"1 Blvd du Casino, GATINEAU, Quebec, Canada",https://s1.ticketm.net/dam/a/e85/690e9d49-974d-4059-95b0-d874b51c2e85_SOURCE
1Ad7Zb9Gksfe8lZ,"Révolution Les Étoiles, l'ultime tournée ",2025-04-12 15:00:00,"972 Rue Saint-Jean , Quebec, Quebec, Canada",https://s1.ticketm.net/dam/a/4cd/ef09ea87-4781-42e3-a533-a048a8d494cd_SOURCE
1Ad7ZbbGkg8OZST,"Révolution Les Étoiles, l'ultime tournée ",2025-04-12 20:00:00,"972 Rue Saint-Jean , Quebec, Quebec, Canada",https://s1.ticketm.net/dam/a/4cd/ef09ea87-4781-42e3-a533-a048a8d494cd_SOURCE
1Ad7ZbfGkTvL3Dt,Michel Pagliaro,2025-04-12 20:00:00,"9200 Boulevard Leduc, Brossard, Quebec, Canada",https://s1.ticketm.net/dam/a/889/084a9856-8197-4c0f-8658-49a98bef5889_SOURCE
